Id,HotelName,Provider,CityName,CountryCode,CheckInDate,CheckOutDate,IsGuaranteed,Price
874236,Cool Living Jakarta,FR,Jakarta,ID,10/29/2025,10/30/2025,TRUE,514883
874237,Hilton Bandung,JV,Bandung,ID,10/29/2025,10/31/2025,TRUE,2938037.6
874238,Parkside Alhambra Hotel,KB,Banda Aceh,ID,10/29/2025,10/30/2025,TRUE,441262.5
874239,Wyndham Surabaya,JV,Surabaya,ID,11/4/2025,11/6/2025,TRUE,4772731.38
874240,Sheraton Belitung Resort,KB,Belitung,ID,11/4/2025,11/7/2025,TRUE,4905000
874241,ibis Surabaya City Center,KB,Surabaya,ID,10/30/2025,10/31/2025,TRUE,465000
874242,Andaz Xiamen,DOTW,Xiamen,CN,12/18/2025,12/19/2025,FALSE,0
874243,The Luxton Bandung,KB,Bandung,ID,10/29/2025,10/30/2025,TRUE,1223693.43
874244,Moxy Bandung,JV,Bandung,ID,10/30/2025,11/1/2025,TRUE,2686321.82
874245,Andaz Xiamen,DOTW,Xiamen,CN,12/15/2025,12/17/2025,FALSE,0
874246,Hotel NEO Gajah Mada Pontianak,JV,Pontianak,ID,11/6/2025,11/7/2025,FALSE,458529.77
874247,Swiss-Belhotel Ambon,FR,Ambon,ID,10/30/2025,10/31/2025,TRUE,3246216
874248,HARRIS Hotel & Conventions Bekasi,JV,Bekasi,ID,10/31/2025,11/2/2025,TRUE,1558925.02
874249,Aryaduta Bali,DIDA,Bali,ID,10/30/2025,10/31/2025,TRUE,1635013
874250,Hotel Villa Fontaine Grand Haneda Airport,JV,Tokyo,JP,11/7/2025,11/8/2025,FALSE,2969907.71
874251,Best Western Setiabudhi Bandung,JV,Bandung,ID,10/29/2025,11/1/2025,TRUE,1938346.68
874252,The Rinra Hotel Makassar,DOTW,Makassar,ID,11/3/2025,11/5/2025,FALSE,0
874253,Swiss-Belhotel Ambon,JV,Ambon,ID,10/31/2025,11/1/2025,TRUE,869917.5
874254,DoubleTree by Hilton Perth Waterfront,JV,"Perth, WA",AU,11/4/2025,11/7/2025,FALSE,13288972.07
874255,Hotel Triton,JV,Manokwari,ID,11/13/2025,11/14/2025,FALSE,589059.51
874256,AI Hotel Jakarta Thamrin,KB,Jakarta,ID,10/29/2025,10/30/2025,TRUE,700000
874257,Luminor Hotel Tanjung Selor,KB,Tanjung Selor,ID,11/2/2025,11/4/2025,TRUE,1497072.22
874258,The Belagri Hotel and Convention Center,JV,Sorong,ID,11/14/2025,11/15/2025,TRUE,545352.46
874259,Luminor Hotel Tanjung Selor,KB,Tanjung Selor,ID,11/2/2025,11/5/2025,TRUE,2291158.48
874260,Whiz Prime Hotel Balikpapan,JV,Balikpapan,ID,11/3/2025,11/4/2025,TRUE,458904.55
874261,Parkside Alhambra Hotel,KB,Banda Aceh,ID,10/30/2025,10/31/2025,TRUE,445500
874262,Melia Hotel Makassar,JV,Makassar,ID,11/4/2025,11/7/2025,FALSE,2498838.75
874263,"Oasia Hotel Novena, Singapore by Far East Hospitality",JV,Singapore City,SG,10/31/2025,11/2/2025,TRUE,5881810.43
874264,ARTOTEL TS Suites Surabaya,KB,Surabaya,ID,10/30/2025,11/1/2025,TRUE,1503500
874265,El Tropico Boutique Hotel,JV,Lombok,ID,11/1/2025,11/2/2025,TRUE,1677043.07
874266,Millennium Hotel Sirih Jakarta,KB,Jakarta,ID,11/1/2025,11/2/2025,TRUE,916468.95
874267,Fairfield by Marriott Belitung,KB,Belitung,ID,11/4/2025,11/7/2025,TRUE,2766877.85
874268,Aston Batam Hotel & Residence,KB,Batam,ID,11/10/2025,11/12/2025,TRUE,3534589.11
874269,Swiss-Belexpress Cilegon,JV,Cilegon,ID,10/30/2025,10/31/2025,TRUE,597852.16
874270,Oakwood Residence Cikarang,JV,Bandung,ID,11/1/2025,11/2/2025,FALSE,827445.26
874272,1O1 STYLE Yogyakarta Malioboro,KB,Yogyakarta,ID,10/30/2025,10/31/2025,TRUE,1312552.32
874273,The Life Styles Hotel,JV,Surabaya,ID,10/29/2025,10/30/2025,TRUE,512596.26
874274,Amaris Hotel Sunset Road Bali,JV,Bali,ID,11/3/2025,11/7/2025,TRUE,1151271.52
874275,Orchardz Hotel Gajahmada – Pontianak,JV,Pontianak,ID,10/29/2025,10/30/2025,TRUE,603429.27
874276,b Hotel Bali & Spa,JV,Bali,ID,10/29/2025,11/4/2025,TRUE,3886661.86
874277,Swiss-Belexpress Cilegon,JV,Cilegon,ID,10/30/2025,10/31/2025,TRUE,597852.16
874278,Four Points by Sheraton Manado,KB,Manado,ID,11/23/2025,11/26/2025,TRUE,3558942.03
874279,Neotel Hotel Berau City Centre,KB,Berau,ID,10/30/2025,10/31/2025,TRUE,999471.76
874280,Tobu Hotel Levant Tokyo,KB,Tokyo,JP,1/6/2026,1/13/2026,FALSE,21119734.24
874281,EL Hotel Bandung,KB,Bandung,ID,10/31/2025,11/1/2025,TRUE,1280486.83
874282,POP! Hotel BSD City Tangerang,KB,Tangerang,ID,10/29/2025,10/31/2025,TRUE,754400
874283,JS Luwansa Hotel and Convention Center,KB,Jakarta,ID,11/6/2025,11/7/2025,TRUE,996000
874284,Holiday Inn Express Baruna Bali,JV,Bali,ID,10/29/2025,10/31/2025,TRUE,1889275.09
874285,ibis Styles Bogor Raya,KB,Bogor,ID,10/29/2025,10/30/2025,TRUE,908111.45
